,0,1,2
482,B50044-0,SimOpt_int_short_0,1.0
483,B50047-0,SimOpt_int_short_0,1.0
484,B50057-0,SimOpt_extensive_1,0.43986507915319856
485,B50057-0,SimOpt_extensive_17,0.5601349208468014
486,B50077-0,SimOpt_no_management_0,1.0
487,B50081-0,SimOpt_extensive_long_0,1.0
488,B50097-0,SimOpt_int_short_0,1.0
489,B50102-0,SimOpt_extensive_0,0.9999999999999999
490,B50126-0,SimOpt_extensive_long_17,1.0
491,B50137-2,SimOpt_extensive_long_0,1.0
492,B50159-0,SimOpt_int_short_0,1.0
493,B50189-0,SimOpt_extensive_16,1.0
494,B50198-0,SimOpt_extensive_18,1.0000000000000002
495,B50233-0,SimOpt_extensive_8,1.0
496,B50255-0,SimOpt_extensive_long_0,1.0
497,B51018-0,SimOpt_no_management_0,1.0
498,B51081-0,SimOpt_multispecies_18,1.0
499,B51084-0,SimOpt_extensive_long_17,1.0
500,B51126-1,SimOpt_extensive_18,1.0
501,B51142-0,SimOpt_int_short_16,1.0
502,B51144-0,SimOpt_no_management_0,1.0
503,B51258-0,SimOpt_extensive_long_16,1.0
504,B52066-0,SimOpt_extensive_16,1.0
505,B54144-0,SimOpt_int_short_0,1.0
506,B55013-0,SimOpt_extensive_long_18,1.0
507,B55021-0,SimOpt_int_0,1.0
508,B55037-0,SimOpt_extensive_long_0,1.0
509,B55055-0,SimOpt_extensive_0,1.0
510,B55128-0,SimOpt_extensive_long_0,1.0
511,B55194-0,SimOpt_extensive_long_0,1.0
512,B55257-1,SimOpt_extensive_long_0,1.4816713008482022e-16
513,B55257-1,SimOpt_int_short_0,0.9999999999999999
514,C01135-0,SimOpt_no_management_0,1.0
515,C01149-2,SimOpt_no_management_0,1.0
516,C01155-1,SimOpt_multispecies_17,1.0
517,C01199-0,SimOpt_int_16,1.0
518,C01202-1,SimOpt_int_0,1.0
519,C01242-0,SimOpt_int_short_0,1.0
520,C02062-0,SimOpt_int_0,1.0
521,C02121-0,SimOpt_int_short_0,1.0
522,C02124-0,SimOpt_multispecies_1,1.0
523,C02147-0,SimOpt_extensive_1,1.0
524,C02161-0,SimOpt_extensive_long_0,0.9999999999999999
525,C02161-0,SimOpt_no_management_0,1.3824682025002716e-16
526,C02179-1,SimOpt_int_0,1.0
527,C02219-0,SimOpt_no_management_0,1.0
528,C02227-0,SimOpt_int_0,1.0
529,C03252-0,SimOpt_extensive_long_0,1.0
530,C04017-0,SimOpt_ccover_1,1.0
531,C04116-0,SimOpt_extensive_long_0,0.6158112476155297
532,C04116-0,SimOpt_no_management_0,0.3841887523844702
533,C04121-0,SimOpt_extensive_0,1.0000000000000002
534,C04175-0,SimOpt_extensive_long_0,0.2668280942737115
535,C04175-0,SimOpt_int_0,0.7331719057262884
536,C04218-0,SimOpt_extensive_0,0.9999999999999999
537,C04218-0,SimOpt_extensive_long_0,1.5324901407664704e-16
538,C05051-0,SimOpt_int_short_0,1.0
539,C05052-0,SimOpt_extensive_10,0.6267232724504467
540,C05052-0,SimOpt_extensive_8,0.37327672754955327
541,C05155-0,SimOpt_extensive_long_0,1.0
542,C05191-0,SimOpt_int_short_0,1.0
